time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-12 00:00:00+00:00,0,0,0,0
2026-08-13 00:00:00+00:00,0,0,0,0
2026-08-14 00:00:00+00:00,0,0,0,0
2026-08-15 00:00:00+00:00,0,0,0,0
2026-08-16 00:00:00+00:00,0,0,0,0
2026-08-17 00:00:00+00:00,0,0,0,0
2026-08-18 00:00:00+00:00,0,0,0,0
2026-08-19 00:00:00+00:00,0,0,1,1
2026-08-20 00:00:00+00:00,1,1,0,0
2026-08-21 00:00:00+00:00,0,0,3,2
2026-08-22 00:00:00+00:00,48,24,25,15
2026-08-23 00:00:00+00:00,64,26,57,27
2026-08-24 00:00:00+00:00,6,6,44,16
2026-08-25 00:00:00+00:00,2,2,7,4
